NORTHERN CAPE
Frances Baard
Frances Baard
John Taolo Gaetsewe
Namakwa
Namakwa
Pixley Ka Seme
Z F MGCAWU

300014406 2014406 DEGANIA HIGH SCHOOL                                   5                                                                        0               7              7             100,0           0             12            12               100,0
300034302 2034302 Brandvlei Intermediate School                         2           7             27            19               70,4           0             24            18               75,0            0             26            24               92,3
300032302 2032302 F J Smit Intermediate School                          5           2             15            14               93,3           3             33            29               87,9            3             23            22               95,7
300034206 2034206 H/skool Aggeneys                                      5           2             26            22               84,6           2             27            23               85,2            0             25            23               92,0
300031402 2031402 H/skool Alexanderbaai                                 5           0             33            26               78,8           0             19            15               78,9            0             39            30               76,9
300034304 2034304 H/skool Boesmanland                                   4           8             52            41               78,8           5             69            52               75,4            0             76            54               71,1
300033402 2033402 H/skool Calvinia                                      5           0             25            25               100,0           2             26            24               92,3            2             37            37               100,0
300031401 2031401 H/skool Concordia                                     4           3             64            53               82,8            1             74            69               93,2            0             70            67               95,7
300033301 2033301 H/skool Fraserburg                                    2           3             15            12               80,0            0             23            23               100,0           0             18            17               94,4
300033302 2033302 H/skool Garies                                        5           0             36            31               86,1            0             37            31               83,8            1             21            18               85,7
300033401 2033401 H/skool Hantam                                        4          19              75            47               62,7            3             61            42               68,9            0             77            52               67,5
300032305 2032305 H/skool Kharkhams                                     1           6             30            27               90,0            1             46            42               91,3            0             39            34               87,2
300033211 2033211 H/skool Loeriesfontein                                4           2             12               5             41,7            2             18            14               77,8            0             14            10               71,4
300031302 2031302 H/skool Nababeep                                      5           1             35            22               62,9            1             42            27               64,3            0             44            18               40,9
300032401 2032401 H/skool Namakwaland                                   5           3             92            85               92,4            4             111           102              91,9            0             104           97               93,3
300034309 2034309 H/skool O’kiep                                        4           3             59            45               76,3            4             61            46               75,4            0             38            34               89,5
300032308 2032308 H/skool Port Nolloth                                  4           7             36            29               80,6            4             31            23               74,2            4             42            30               71,4
300033313 2033313 H/skool Protea                                        2           2             20            18               90,0            4             26            23               88,5            6             18            12               66,7
300032402 2032402 H/skool S A Van Wyk                                   5           1             18            15               83,3            0             49            34               69,4            0             30            17               56,7
300031403 2031403 H/skool Steinkopf                                     4           6             86            63               73,3            8             87            69               79,3            0             58            43               74,1
300033303 2033303 H/skool Sutherland                                    4           0             14               8             57,1            0             11               5             45,5            1             11               7             63,6
300033304 2033304 H/skool Williston                                     4           3             18            14               77,8            0             19            14               73,7            0             28            24               85,7
300034401 2034401 St Anna Privaatskool                                  99            0            22            16               72,7             0              9              8             88,9             0            10               8             80,0
300011404 2011404 H/SCHOOL BONGANI                                      2           7             63            33               52,4          13              91            49               53,8            0             112           69               61,6
300023401 2023401 H/SCHOOL ENOCH MTHETHO                                2           1             26            13               50,0            3             33            22               66,7            0             30            20               66,7
300021403 2021403 H/SCHOOL MONWABISI                                    3         10              77            59               76,6            6             81            53               65,4            0             64            54               84,4
300023402 2023402 H/SCHOOL PHAKAMISANI                                  2         11              35            16               45,7            0             29            21               72,4            0             52            25               48,1
300021208 2021208 H/SCHOOL PHILIPSTOWN                                  1           2             20               3             15,0            0             27               9             33,3            0             18               9             50,0
300023403 2023403 H/SCHOOL UMSO                                         2         41              148           81               54,7          21              151           110              72,8            0             156           127              81,4
300024302 2024401 H/skool Carnarvon                                     4           1             54            38               70,4            6             62            51               82,3            0             62            55               88,7
300023302 2023302 H/skool Colesberg                                     4         10              48            40               83,3            1             58            55               94,8            2             52            49               94,2
300021401 2021401 H/skool De Aar                                        5           0             69            66               95,7            0             72            71               98,6            0             77            66               85,7
300011305 2011305 H/skool Douglas                                       5           3             31            29               93,5            0             26            26               100,0           0             31            31               100,0
300022402 2022402 H/skool Gariep                                        4           4             92            86               93,5            0             97            85               87,6            0             128           119              93,0
300022301 2022301 H/skool Hopetown                                      4           0             25            25               100,0           0             14            14               100,0           0             20            20               100,0
300016401 2016401 H/skool Karrikamma                                    2         15              62            49               79,0            8             61            44               72,1            1             79            65               82,3
300021404 2021404 H/skool Orion                                         2         16              78            47               60,3          16              80            35               43,8            0             64            48               75,0
300021402 2021402 H/skool Petrusville                                   1           3             77            51               66,2            9             70            49               70,0            0             85            67               78,8
300022302 2022302 H/skool Prieska                                       5           0             27            27               100,0           0             21            21               100,0           0             21            21               100,0
300024303 2024303 H/skool Richmond                                      4           1             44            23               52,3            6             54            27               50,0            0             43            36               83,7
300022305 2022305 H/skool Steynville                                    3         16              92            67               72,8          14              76            61               80,3            0             67            61               91,0
300022303 2022303 H/skool Theron                                        2           4             24            14               58,3          12              53            35               66,0            0             54            36               66,7
300021405 2021405 H/skool Veritas                                       2         22              89            41               46,1          27              132           79               59,8            0             89            51               57,3
300024307 2024307 H/skool Victoria-Wes                                  2           4             60            32               53,3            9             83            52               62,7            0             71            60               84,5
300011302 2011302 H/skool Weslaan                                       4         25              127           79               62,2          13              146           67               45,9            0             141           111              78,7
300023404 2023404 Noupoort Christian Education College                  5                                                                        0               7             7              100,0           0             11            11               100,0
300023303 2023303 Noupoort Gekombineerde Skool                          4           1             48            28               58,3            1             53            35               66,0            0             47            31               66,0
300022307 2022307 Strydenburg Combined School                           2           3             24            20               83,3            1             10              9              90,0            0             10              5              50,0
300024304 2024304 Victoria-Wes Gekombineerde Skool                      2           0             21            16               76,2           0             21            18               85,7           0             39            23               59,0
300042302 2042302 FRIERSDALE COMBINED SCHOOL                            2           3             38            28               73,7           0             41            35               85,4           7             45            41               91,1
300041401 2041401 H/skool A J Ferreira                                  4         17              114           74               64,9         23              136           100              73,5         20              131           98               74,8
300044401 2044401 H/skool Blinkklip                                     4         69              132           79               59,8         26              117           95               81,2         22              154           121              78,6
300043401 2043401 H/skool Carlton van Heerden                           4         49              219           177              80,8         21              220           176              80,0           9             242           204              84,3
300045302 2045302 H/skool Danielskuil                                   5           1             93            90               96,8           3             85            80               94,1           2             98            93               94,9
300041402 2041402 H/skool Duineveld                                     5           0             145           142              97,9           1             176           171              97,2           7             166           165              99,4
300043402 2043402 H/skool Groblershoop                                  4         10              156           109              69,9         11              139           105              75,5         17              154           137              89,0
300043303 2043303 H/skool Kakamas                                       4         25              150           53               35,3         12              134           69               51,5           0             117           70               59,8
300042303 2042303 H/skool Keimoes                                       4           3             54            48               88,9           1             67            65               97,0           0             71            70               98,6
300034305 2034305 H/skool Kenhardt                                      2           5             31            26               83,9           1             30            25               83,3           3             32            31               96,9
300045402 2045402 H/skool Kuilsville                                    4         46              103           69               67,0         30              100           79               79,0         26              98            88               89,8
300043403 2043403 H/skool Martin Oosthuizen                             5           0             37            36               97,3           0             45            44               97,8           1             42            41               97,6
300042401 2042401 H/skool Oranjezicht                                   4         16              78            42               53,8         13              117           89               76,1           4             98            87               88,8
300044403 2044403 H/skool Postmasburg                                   5           1             97            91               93,8           4             76            70               92,1           7             86            82               95,3
300041301 2041301 H/skool Rietfontein                                   1           9             77            47               61,0           0             62            49               79,0           0             81            62               76,5
300043306 2043306 H/skool S C Kearns                                    4         56              147           86               58,5         43              153           114              74,5         42              169           128              75,7
300042403 2042403 H/skool Saul Damon                                    3         29              136           92               67,6         12              136           101              74,3         13              182           149              81,9
300041403 2041403 H/skool Upington                                      5           1             107           103              96,3           1             125           123              98,4           0             116           115              99,1
300042402 2042402 Paballelo High School                                 1         23              116           81               69,8         31              173           124              71,7         19              155           110              71,0
300044404 2044404 Ratang-Thuto High School                              2         58              131           67               51,1           5             103           69               67,0           1             111           76               68,5
