province,district_name,emis_number,centre_number,centre_name,quantile,_2021_progressed(%),_2021_total_wrote,_2021_total_archived,_2021_achived,_2022_progressed,_2022_total_wrote,_2022_total_archived,_2022_achived,_2023_progressed,_2023_total_wrote,_2023total_archeive,_2023_achieved(%)
                500183002   5312335   KWAPHIKAZIWA S                2            0             30            29              96,7            0             24              24              100,0           1             32              32              100,0
                500189218   5312119   LUTHULI H                     3            3            444           322              72,5            0            362             287               79,3           0            409             330               80,7
                500190180   5312120   MABIYA SS                     1            0             58            45              77,6            0             24              24              100,0          22             76              62               81,6
                500190328   5312121   MABUTHELA H                   1           12             58            45              77,6            0             36              34               94,4           0             48              38               79,2
                500193103   5312264   MAHELANE S                    1            0             95            76              80,0            5             54              52               96,3          17             80              76               95,0
                500194213   5312217   MAKHANDA H                    3            0            159           123              77,4           20            145             128               88,3          41            218             173               79,4
                500338254   5312338   MALANGENI SECONDARY SCHOOL    1            2             50            43              86,0            0             92              78               84,8           0            107              92               86,0
                500337144   5312122   MALUSI H                      2           10             90            64              71,1           10             72              56               77,8           4             58              56               96,6
                500196914   5312123   MANGQUZUKA H                  2           53            192           151              78,6           36            122             116               95,1          50            149             140               94,0
                500199171   5312218   MARBURG S                     5            5            274           230              83,9           12            203             183               90,1           5            206             184               89,3
                500429866   5312267   MARGATE MIDDLE SCHOOL         3            4            158           126              79,7            8            135              92               68,1           1            172             120               69,8
                500203426   5312219   MASHESHA JS                   3            2             27            20              74,1            0             18              17               94,4           7             18              16               88,9
                500203204   5312149   MAYIYANA H                    1            1             38            24              63,2           13             15              14               93,3           0             26              18               69,2
                500203685   5312220   MBAMBI H                      2           35            125           101              80,8           36            129             114               88,4          22            117              94               80,3
                500204832   5312221   MBONWA S                      2            9             48            36              75,0           15             43              41               95,3           4             57              55               96,5
                500205128   5312222   MBUSI H                       2            0             94            90              95,7           14            117             115               98,3           6             96              94               97,9
                500319051   5312223   MCUSHWA JS                    1            7             61            52              85,2            2             54              51               94,4           3             46              45               97,8
                500206164   5312224   MDLANGASWA H                  2            1            151           122              80,8            0            182             143               78,6           0            129             112               86,8
                500206201   5312225   MDLANGATHI S                  2           12            163           145              89,0            3            171             169               98,8          21            188             174               92,6
UGU




                500206534   5312226   MDULASHI JS                   2            0             77            72              93,5           23             62              61               98,4          10             71              71              100,0
                500342842   5312227   MERLEWOOD S                   3            1            174           149              85,6            5            173             139               80,3          11            144             125               86,8
                500209050   5312126   MGAMULE H                     2           11             39            34              87,2            4             39              39              100,0           5             42              41               97,6
                500209716   5312228   MGUDLWA H                     2            3             24            22               91,7           1             28              25               89,3           3             23              21               91,3
                500322122   5312229   MHLABUHLANGENE JS             1            0             28            28              100,0           1             33              33              100,0           0             36              35               97,2
                500212898   5312230   MLONDE H                      2            4            109            88               80,7          18            114              91               79,8          10            157             130               82,8
                500223776   5312268   MLOTSHWA SECONDARY            1            0            102            90               88,2           4            122              97               79,5           8            113              96               85,0
                500307840   5312307   MNCINDO H                     1            0             22            19               86,4           3             25              24               96,0           2             26              22               84,6
                500213453   5312127   MNGOMENI H                    1            0             49            32               65,3           0             51              40               78,4           4             35              30               85,7
                500217856   5312128   MQHAKAMA H                    2            0             80            80              100,0          11             81              81              100,0           7             74              73               98,6
                500218559   5312231   MSHWESHWE H                    3          34            128            89               69,5           1            135             113               83,7          16            124             120               96,8
                500308654   5312232   MTHIMUDE S                    99           0             40            29               72,5           0             36              32               88,9          13             61              53               86,9
                500219669   5312233   MTHUSI H                       2          55            149           127               85,2          29            105              99               94,3          19            136             132               97,1
                500220335   5312129   MTHWALUME H                    1           0            227           206               90,7           0            198             197               99,5           0            224             222               99,1
                500220113   5312150   MTUMASELI H                    1           2             20            19               95,0           0             29              28               96,6           8             34              32               94,1
                500213860   5312234   MTWANUNGAMIZIZWE H             1           3             20            15               75,0           3             20              19               95,0           2             20              19               95,0
                500221556   5312151   MVUTHULUKA S                   1           1             28            25               89,3           0             30              21               70,0           0             25              22               88,0
                500223036   5312130   NANI JS                        2           0             38            28               73,7           0             29              24               82,8           6             52              40               76,9
                500223739   5312236   NCIYA H                        2           0             83            65               78,3          40             53              45               84,9          22             71              63               88,7
                500232360   5312237   NKONKA H                       3           0            140            92               65,7          60            126              92               73,0          28            134             101               75,4
                500233433   5312238   NOBAMBA H                      3           0             91            62               68,1          25            104              69               66,3          21             94              67               71,3
                500234765   5312333   NOMAZWE H                      1           2              8             6               75,0           3             10               7               70,0           1             10               9               90,0
                500234876   5312239   NOMBUSO H                      2           6            236           233               98,7          10            252             249              98,8            0            249             247              99,2
                500243682   5312240   OLWANDLE H                    3           36            215           188              87,4           20            137             117              85,4           38            155             136              87,7
                500248011   5312242   PHATHWA S                     3           22            254           173              68,1            2            158             136              86,1           19            184             161              87,5
                500248788   5312308   PHINDAVELE H                  2           0             89             74              83,1           26             91              73              80,2           16             99              84              84,8
                500251119   5312243   PORT SHEPSTONE H              5           0             231           227              98,3            1            236             230              97,5            0            244             242              99,2




                                      PORT SHEPSTONE INTERNATIONAL
                500442594 5312244                                     99            0             20            14             70,0             0             23              17             73,9             0             19              16             84,2
                                      H
                500251156   5312245   PORT SHEPSTONE ISLAMIC          99          0             27            27               100,0          0             16              16               100,0           0            16               16              100,0
                500251267   5312246   PORT SHEPSTONE S                 4          1             165           157               95,2           8            169             155               91,7           9            180             165               91,7
                500252784   5312247   QHINQA H                         2          8             112            63               56,3           0             48              45               93,8           0             66              57               86,4
                500253302   5312309   QIKO H                           1          1              51            35               68,6           0             39              34               87,2           6             55              47               85,5
                500325008   5312310   ROBERT HLONGWA S                 3          2              28            14               50,0           5             33              19               57,6           5             10               8               80,0
                500256521   5312311   ROSEVILLE S                      5          0              98            75               76,5           0             98              83               84,7           7            132             107               81,1
                500339771   5312312   SANYWANA H                       1          0              47            42               89,4           0             25              25              100,0           0             44              41               93,2
                500258667   5312313   SAPHUMULA SS                     1          1              31            19               61,3           0             19              19              100,0           0             18              17               94,4
                500259518   5312314   SCOTTBURGH H                     5          0              92            89               96,7           0            100              97               97,0           0             93              92               98,9
                500260036   5312248   SEHOLE COMBINED                  4          0             140           109               77,9          15            152             129               84,9          16            143             115               80,4
                500263181   5312132   SIBONGIMFUNDO H                  2          7              36            32               88,9           0             42              36               85,7          18             80              46               57,5
                500259259   5312133   SIBONGUJEKE JS                   1          0              20            14               70,0           0             11              11              100,0           1              8               7               87,5
                500263255   5312134   SIBONGUMFEKA SS                  2          0              18            17               94,4           7             19               8               42,1           0             24              12               50,0
                500263773   5312315   SIBUYILE SS                      1          8              21            19               90,5           0             37              29               78,4           2             32              24               75,0
                500264618   5312316   SIHLE H                          2          1             189           111               58,7           3            122             112               91,8           0            145             124               85,5
                500264772   5312249   SIKANISWENI S                    2          2              76            56               73,7          13             46              45               97,8          14             75              71               94,7
                500266622   5312317   SINGELE H                        3          2              80            51               63,8           2             76              63               82,9          11             85              66               77,6
                500334739   5312250   SINOMUSA S                       2          23             56            34               60,7           5             34              31               91,2           7             42              38               90,5
                500267140   5312318   SIPHAPHEME H                     1          25            161           131               81,4           1            181             173               95,6           0            137             130               94,9
                500267325   5312319   SIPHEPHILE S                     2           2             12             7               58,3           0              9               7               77,8           2              9               1               11,1
                500268398   5312251   SISTER JOANS H                   3           0            176           122               69,3          19            139             103               74,1          10            127             117               92,1
                500278018   5312138   SITHOKOZILE JS                   2           0             47            33               70,2           8             28              27               96,4          10             42              41               97,6
UGU




                500269064   5312320   SITHUTHUKILE S                   1           0              8             7               87,5          0              5               5               100,0          0             10               9               90,0
                500269175   5312321   SIVELILE JS                      1          0             49            42                85,7          4             69              66                95,7          3             58              55               94,8
                500269804   5312139   SIYAKHULA JS                    99                                                                      0             12              12               100,0          1             17              14               82,4
                500270100   5312253   SIYAPHAMBILI S                   2          14            109             90             82,6           11            86              86               100,0          18            95              93               97,9
                500342805   5312322   SIZATHINA JS                     1           0             65             40             61,5            7            46              40                87,0          2             45              39               86,7
                500271617   5312323   SIZOPHUMELELA H                  2           3             66             57             86,4           10            79              66                83,5          8             77              64               83,1
                500342472   5312254   SOUTH COAST ACADEMY             99                                                                       0            39              37                94,9          0             22              18               81,8
                500274392   5312265   SOZABE H                         3            3             46            43             93,5            1            47              44                93,6          3             48              47               97,9
                                      ST MARTIN DE PORRES
                500276131 5312256                                     99            2             10            10             100,0            1               7                7           100,0            3               6                5           83,3
                                      COMPREHENSIVE
                500278277   5312257   SUID-NATAL H                    5           0              63           59               93,7           0             64              57               89,1           0             62               60               96,8
                500278351   5312324   SUKAMUVA H                      1           0              32           18               56,3           0             45              39               86,7           0             26               25               96,2
                500281792   5312142   THEMBUZULU S                    2           5              43           28               65,1           1             41              39               95,1           3             31               31              100,0
                500282088   5312259   THOBIGUNYA H                    2           0             107           102              95,3           21            148             148              100,0          12            131             128               97,7
                500282606   5312260   THOLIMFUNDO S                   2           12             81            74              91,4            3             78             78               100,0           2             79              78               98,7
                500328188   5312325   THOLISU S                       1            9             45            45              100,0           5             62              62              100,0           5             83              82               98,8
                0           5512000   UGU CENTRE 1                    99                                                                                                                                     0              2               1               50,0
                500328597   5312334   UMZINTO ISLAMIC                 99            0           17            16               94,1           0             17              17               100,0           0             22              22              100,0
                500289562   5312327   UMZINTO S                        5            0           217           155              71,4           19            253             170               67,2           3            205             174               84,9
                500293780   5312328   VUMANDABA S                      3            1            35            30               85,7           3             48              41               85,4           0             60              47               78,3
                500293891   5312329   VUMELETHU JS                    99            0            17            17              100,0           0             12              11               91,7           2             11              11              100,0
                500444000   5312266   WESBURY COLLEGE OF SCIENCE      99                                                                       0             47              21               44,7           0             33              27               81,8
                500299737   5312143   ZIBONELE JS                      2            0             81            70             86,4            0             80              73               91,3           1             95              84               88,4
                500300847   5312330   ZITHOKOZISE H                    3            4             24            17             70,8            0              8               6               75,0           8             21              13               61,9
                500301476   5312263   ZUZICEBO H                       2            2             66            63             95,5            3             68              64               94,1           5             80              78               97,5





                500100788   5311301   ALEXANDRA H                   5           0             195           172              88,2           0             201             179              89,1           0             197             179              90,9
                500101676   5311329   AMAKHOLWA S                   3           1             114            56              49,1           1              79              63              79,7           0              53              43              81,1
                500103563   5311302   ARTHUR BLAXALL                99          1              25            24              96,0            1             20              15              75,0            0             18              13              72,2
                500103674   5311401   ASANDE S                       2          18             77            68              88,3           28             99              82              82,8           12             66              56              84,8
                500103933   5311201   ASIBEMUNYE H                   3          24            136           120              88,2            6            117             110              94,0            8            191             162              84,8
                500104044   5311202   ASITHUTHUKE COMBINED           3           4             24            20              83,3           11             26              24              92,3           12             24              21              87,5
                500105561   5311101   BANQOBILE H                    3           1            117           100              85,5           36            120             115              95,8           13            114             110              96,5
                500109261   5311402   BHEKUXIMBA H                   3           0             98            57              58,2           19             76              58              76,3           10             48              32              66,7
                500111333   5311303   BONGUDUNGA S                   3          57             78            55              70,5           31             48              45              93,8           30             71              64              90,1
                500114700   5311205   CARTER H                       5           4            191           181              94,8           14            193             176              91,2            0            192             176              91,7
                500116291   5311403   CHIBELIHLE COMBINED            2           4             58            47              81,0            2             53              47              88,7            0             48              47              97,9
                                      CHISTLEHURST ACADEMICS &
                500328299 5311330                                   99                                                                        0               6                5           83,3             0               9                9           100,0
                                      ARTS
                500227735   5311304   CONGCO H                      2         20              39            37               94,9           1             54              44               81,5           0             61              51               83,6
                500117919   5311102   COOL AIR S                    4          4              60            49               81,7           1              73             58               79,5           10             65             45               69,2
                500342731   5311206   COPESVILLE S                  3          0              162           113              69,8           0             154             107              69,5            8            180             127              70,6
                500119251   5311207   DABULAMANZI COMBINED          1         19               41            15              36,6           4              22              16              72,7           11             34              24              70,6
                500122914   5311208   DOORNKLOOF COMBINED           1         16               46            19              41,3           4              17              16              94,1            8             12              11              91,7
                500125023   5311209   DUNVERIA S                    5          5              100            71              71,0           0             133              95              71,4            8            116             98               84,5
                500125726   5311103   DWENGU H                      2          0               16            10              62,5           8              22              15              68,2            0             16              15              93,8
                500125985   5311305   EASTWOOD S                    4         23              206           159              77,2           0             167             142              85,0            1            158             134              84,8
                500429792   5311146   EBUNGUNI H                    2         30               47            14              29,8           14             19              14              73,7           11             30              26              86,7
                500126873   5311210   EDENDALE TECHNICAL H          4          1              291           232              79,7            0            300             211              70,3            6            326             249              76,4
                500128945   5311104   EKUPHOLENI H                  3          1               65            12              18,5            6             32              23              71,9            4             18              17              94,4
                500132867   5311211   EMINYEZANENI S                4         130             142            34              23,9            0             63              50              79,4           14             45              44              97,8
UMGUNGUNDLOVU




                500135420   5311404   EMZAMWENI H                   3          3              210           201              95,7            0            326             287              88,0           75            411             286              69,6
                500141895   5311212   ESTHER PAYNE SMITH S          5          19              55            24               43,6           0             79              53               67,1          15             88              41               46,6
                500143782   5311105   EZULWINI COMBINED             1           0              36            36              100,0           4             39              39              100,0           9             64              63               98,4
                500145854   5311306   FUNDOKUHLE S                  4          29             141           103               73,0           0            111              87               78,4          27             68              58               85,3
                500146187   5311106   FUNUNDU H                     2           1              10             9               90,0           4             13               7               53,8           0              6               4               66,7
                500146742   5311107   GAJU S                        2           0              12            11               91,7           5             14              14              100,0           3             14               9               64,3
                500147445   5311108   GCEWU S                       1           8              26             6               23,1           6              8               4               50,0          12             16              12               75,0
                500148296   5311109   GEORGENAU COMBINED            4          26              76            46               60,5          21            131              67               51,1          12             90              67               74,4
                500148333   5311307   GEORGETOWN S                  3           0             133           132               99,2           3            218             205               94,0          10            185             180               97,3
                500150294   5311405   GOBINDLOVU COMPREHENSIVE H    3           0              72            57               79,2           6            141             128               90,8           0            115             113               98,3
                500150331   5311110   GOBIZEMBE H                   3          13              73            43               58,9          19             62              50               80,6           3             42              39               92,9
                500154364   5311213   HAYTHORNE S                   5          13             208           170               81,7           0            230             165               71,7           0            164             142               86,6
                500154512   5311214   HEATHER S                      5          7             212           179               84,4          10            216             196               90,7          10            216             192               88,9
                500154771   5311215   HERITAGE ACADEMY              99          1              15            14               93,3           0             10               9               90,0           0              9               7               77,8
                500158619   5311216   HOWICK H                       5          2              94            93               98,9           0             88              87               98,9           0             83              83              100,0
                500158730   5311217   HOWICK S                       4          3              91            82               90,1           4            110              97               88,2           9            123             109               88,6
                500158915   5311308   HUBA H                         2         31              53            49               92,5          19             52              51               98,1          46             38              35               92,1
                500101158   5311332   ICESA CITY CAMPUS - PMB       99          0               4             3               75,0           1              8               4               50,0           0             16               9               56,3
                500181818   5311309   IKUSASELIHLE H                 2        107             196           144               73,5           0             99              83               83,8          32            127             112               88,2
                500312724   5311406   IMBALI JS                      2          3              12            11               91,7           4              6               6              100,0           9             11               5               45,5
                500161505   5311407   IMVUNULO S                     3          3              70            61               87,1          57            142              88               62,0           0             32              27               84,4
                500312354   5311310   INDALA H                       3        100             206           155               75,2          80            166             144               86,7          90            140             133               95,0
                500163466   5311111   INGQAYIZIVELE JS               2          0              16            10               62,5           0              8               7               87,5           2              8               3               37,5
                500163577   5311408   INGQWANGELE H                  3         17              42            24               57,1           4             24              21               87,5           1             21              20               95,2
                500164095   5311112   INHLANHLAYABEBHUZE H           3          0              39            27               69,2           6             43              31               72,1           6             50              37              74,0
                500164428   5311218   INJOLOBA S                    3          0              168           111               66,1           1            158             151              95,6            9            158             145              91,8
                500165131   5311113   INKUMANE H                    2          4               14            14              100,0           0             16              10               62,5           2             19              19              100,0
                500165649   5311409   INSIKA JS                     3          23              22            14               63,6           6             10               9               90,0           5             17              17              100,0
                500169127   5311114   ISMONT H                      2           0               9             8               88,9           0              9               9              100,0           0              7               5               71,4



                500170681   5311219   JABULA COMBINED             3           14             21           20               95,2           22            23               20              87,0            1            23               19              82,6
                500173752   5311220   KHARINA S                   5            9            192           158              82,3            1            225             168               74,7           6            208             167              80,3
                500174011   5311115   KHAYELIHLE H                2            0             12            10              83,3            8             19               9               47,4           9             12               7              58,3
                500177674   5311410   KHULEKONKE S                3           66            143            79              55,2           33             78              59               75,6           6             49              43              87,8
                500181337   5311411   KWAMNCANE H                 3           83            124            52              41,9           18             62              53               85,5           2             43              39              90,7
                500182891   5311311   KWAPATA S                   3           31            155           128              82,6           32            151             150               99,3          25            112             112              100,0
                500184778   5311412   LADUMA H                    3            0            104            50              48,1           15             60              55               91,7          10             54              39               72,2
                500185259   5311413   LANGALAKHE H                3           10             79            59               74,7          22             77              59               76,6          60             58              52               89,7
                500185629   5311414   LANGSYDE                    2            5            133           128               96,2           0            120             117               97,5           2            129             117               90,7
                500186998   5311221   LINPARK H                   5            0            109            86               78,9           0            121              99               81,8           0            128              85               66,4
                500188330   5311415   LUGAJU JS                   2           15             14            12              85,7            1             16              14               87,5           0              8               7               87,5
                500189070   5311416   LUTHANDO H                  2            4             49            49              100,0           3             51              48               94,1           3             58              56               96,6
                500190254   5311144   MABOMVINI COMBINED          1            0             32            29               90,6          10             45              41               91,1           1             28              27               96,4
                500191253   5311116   MADLANYOKA H                2            6             23            15               65,2           0             11              11              100,0           2             26              24               92,3
                500191697   5311417   MAFAHLENI H                 2           13             24            24              100,0          12             12              12              100,0           4             29              29              100,0
                500305398   5311312   MARION H                    99           0             10            10              100,0           0             24              18               75,0           0             29              23               79,3
                500199800   5311313   MARITZBURG COLLEGE           5           0            263           263              100,0           0            266             261               98,1           0            238             236               99,2
                500325968   5311222   MARITZBURG MUSLIM           99           0             56            56              100,0           0             50              50              100,0           0             49              49              100,0
                500200947   5311117   MASIJABULE H                 2           1            191           170               89,0           1            165             150               90,9           0            131             123               93,9
                500200984   5311418   MASIMDUMISE JS               3           0             17            13               76,5           1             13               8               61,5           2             19              16               84,2
                500201391   5311118   MATATANE S                   2          60            109            62               56,9          66            121              80               66,1          45             73              40               54,8
                500312761   5311419   MATOMELA H                   2          44            158           145               91,8          15            115             111               96,5          13            114             114              100,0
                500203278   5311119   MAYIZEKANYE H                1           9             12             4               33,3           5             10               3               30,0           2              5               5              100,0
                500203389   5311420   MAZWENDODA SS                2           0            124           110               88,7          30            153             147              96,1           15            169             160              94,7
                500203611   5311120   MBAMBANGALO H               3           37             83            53              63,9           18            134              81              60,4            0            138              88              63,8
UMGUNGUNDLOVU




                500205831   5311421   MCONJWANA H                 2            0            225           223              99,1           44            243             238              97,9            0            242             238              98,3
                500205905   5311121   MCOSELELI S                 3           30             57            35              61,4           16             67              60              89,6           13             52              50              96,2
                500207015   5311314   MEHLOKAZULU S               4            3             66            53              80,3           15            103              80              77,7            3             76              70              92,1
                500211344   5311145   MJELE S                     2           14             45            28              62,2           10             62              38              61,3           14             61              57              93,4
                500211936   5311315   MKHOBENI H                  3            6             28            20              71,4            6             28              28              100,0           0             29              25               86,2
