province,district_name,emis_number,centre_number,centre_name,quantile,_2021_progressed(%),_2021_total_wrote,_2021_total_archived,_2021_achived,_2022_progressed,_2022_total_wrote,_2022_total_archived,_2022_achived,_2023_progressed,_2023_total_wrote,_2023total_archeive,_2023_achieved(%)
EASTERN CAPE,ALFRED NZO WEST,200500554,4251045,Khulangophondo Senior Secondary School,1,0,39,22,56.4,0,62,48,77.4,0,83,68,81.9
EASTERN CAPE,ALFRED NZO WEST,200501581,4251019,King Edward High School,4,0,52,52,100.0,0,47,47,100.0,0,49,49,100.0
EASTERN CAPE,ALFRED NZO WEST,200501458,4251020,Lindelani Senior Secondary School,3,14,115,111,96.5,22,120,114,95.0,42,134,125,93.3
EASTERN CAPE,ALFRED NZO WEST,200500438,4251021,Loyiso Sinor Secondary School,1,6,73,52,71.2,9,96,73,76.0,15,110,57,51.8
EASTERN CAPE,ALFRED NZO WEST,200500449,4251022,Ludidi Senior Secondary School,1,4,54,31,57.4,14,72,43,59.7,6,45,39,86.7
EASTERN CAPE,ALFRED NZO WEST,200500470,4251023,Lupindo Senior Secondary School,2,22,54,25,46.3,5,37,35,94.6,5,42,40,95.2
EASTERN CAPE,ALFRED NZO WEST,200500479,4251024,Lutateni Senior Secondary School,1,31,150,129,86.0,23,103,89,86.4,1,147,137,93.2
EASTERN CAPE,ALFRED NZO WEST,200501410,4251025,Magadla Senior Secondary School,2,1,82,50,61.0,36,100,75,75.0,3,63,45,71.4
EASTERN CAPE,ALFRED NZO WEST,200500534,4251026,Makaula Senior Secondary School,2,0,316,291,92.1,0,394,353,89.6,0,253,217,85.8
EASTERN CAPE,ALFRED NZO WEST,200500551,4251027,Maluti Senior Secondary School,3,38,208,123,59.1,39,183,143,78.1,54,165,141,85.5
EASTERN CAPE,ALFRED NZO WEST,200501408,4251028,Manzamnyama Senior Secondary School,1,0,67,41,61.2,23,71,59,83.1,8,76,56,73.7
EASTERN CAPE,ALFRED NZO WEST,200500582,4251029,Mariazell Senior Secondary School,1,9,68,40,58.8,0,90,67,74.4,0,64,53,82.8
EASTERN CAPE,ALFRED NZO WEST,200500585,4251087,Masakala Senior Secondary School,3,2,24,14,58.3,7,26,21,80.8,9,25,19,76.0
EASTERN CAPE,ALFRED NZO WEST,200500383,4251030,Mbodleni Senior Secondary School,2,23,112,109,97.3,6,130,121,93.1,3,133,129,97.0
EASTERN CAPE,ALFRED NZO WEST,200500649,4251062,Mbumbazi Senior Secondary School,1,8,104,90,86.5,4,130,113,86.9,7,167,145,86.8
EASTERN CAPE,ALFRED NZO WEST,200501377,4251031,Mfazwe Comprehensive Tech High Sch,1,15,76,47,61.8,5,59,48,81.4,11,67,49,73.1
EASTERN CAPE,ALFRED NZO WEST,200500710,4251090,Mnceba Senior Secondary School, 99,1,74,41,55.4,3,46,41,89.1,10,63,53,84.1
EASTERN CAPE,ALFRED NZO WEST,200500711,4251033,Mnceba Senior Secondary School, 2,26,361,314,87.0,0,252,228,90.5,15,214,196,91.6
EASTERN CAPE,ALFRED NZO WEST,200500725,4251034,Mnukwa Senior Secondary School, 1,20,77,47,61.0,17,74,65,87.8,15,82,63,76.8
EASTERN CAPE,ALFRED NZO WEST,200500732,4251035,Moiketsi Graves Senior Secondary Sch, 1,14,92,71,77.2,24,83,66,79.5,1,90,82,91.1
EASTERN CAPE,ALFRED NZO WEST,200500734,4251036,Mokheseng Senior Secondary School, 1,14,71,57,80.3,7,70,63,90.0,13,78,77,98.7
EASTERN CAPE,ALFRED NZO WEST,200501015,4251086,Moorosi Agricultural High School, 3,4,42,14,33.3,6,43,27,62.8,5,12,7,58.3
EASTERN CAPE,ALFRED NZO WEST,200500741,4251037,Mosa Sibi Senior Secondary School, 3,53,156,112,71.8,48,157,132,84.1,49,133,101,75.9
EASTERN CAPE,ALFRED NZO WEST,200500744,4251038,Moshesh Senior Secondary School, 1,4,49,45,91.8,0,70,70,100.0,3,76,75,98.7
EASTERN CAPE,ALFRED NZO WEST,200500745,4251039,Mothibisi Public School,1,1,63,31,49.2,16,74,38,51.4,0,42,36,85.7
EASTERN CAPE,ALFRED NZO WEST,200500784,4251040,Mount Ayliff Senior Secondary School,1,8,165,123,74.5,18,141,121,85.8,7,213,154,72.3
EASTERN CAPE,ALFRED NZO WEST,200500787,4251042,Mount Frere Senior Secondary School,3,28,147,119,81.0,12,170,136,80.0,15,148,139,93.9
EASTERN CAPE,ALFRED NZO WEST,200500748,4251043,Mount Hargreaves Senior Secondary,2,10,35,23,65.7,14,57,51,89.5,24,89,82,92.1
EASTERN CAPE,ALFRED NZO WEST,200500757,4251089,Mpharane Senior Secondary School,3,0,36,35,97.2,8,50,36,72.0,10,55,45,81.8
EASTERN CAPE,ALFRED NZO WEST,200500758,4251044,Mphatlalatsane Senior Secondary School,2,16,26,11,42.3,3,25,20,80.0,4,32,25,78.1
EASTERN CAPE,ALFRED NZO WEST,200501419,4251046,Mt White Senior Secondary School,1,3,46,21,45.7,3,42,31,73.8,1,34,19,55.9
EASTERN CAPE,ALFRED NZO WEST,200500810,4251047,Mvenyane Senior Secondary School,2,31,214,179,83.6,14,253,206,81.4,22,188,157,83.5
EASTERN CAPE,ALFRED NZO WEST,200500897,4251048,Ngwekazi Senior Secondary School,2,3,104,82,78.8,38,128,101,78.9,0,108,98,90.7
EASTERN CAPE,ALFRED NZO WEST,200500951,4251049,Ntabankulu Senior Secondary School,3,3,161,135,83.9,11,130,96,73.8,25,190,145,76.3
EASTERN CAPE,ALFRED NZO WEST,200500979,4251050,Ntsikayezwe High School,1,27,169,126,74.6,5,140,119,85.0,28,144,110,76.4
EASTERN CAPE,ALFRED NZO WEST,200500984,4251051,Ntsizwa Senior Secondary School,1,6,75,64,85.3,0,144,141,97.9,7,246,213,86.6
EASTERN CAPE,ALFRED NZO WEST,200500990,4251052,Nyaniso Senior Secondary School,1,18,64,48,75.0,15,47,38,80.9,26,57,45,78.9
EASTERN CAPE,ALFRED NZO WEST,200501459,4251053,Nzululwazi Senior Secondary School,2,49,135,73,54.1,14,101,77,76.2,0,89,82,92.1
